564.14,9.24,25.99,21.0,-5.6,-2.86,-3.02,7.17,4.15,5.68,-4.11068174567
540.95,-23.19,-13.95,2.8,-2.19,-28.79,-26.05,-26.21,-16.02,-19.04,-1.91330067474
530.6,-10.35,-33.54,-24.3,-7.55,-12.54,-39.14,-36.4,-36.56,-26.37,0.361854504335
532.52,1.92,-8.43,-31.62,-22.38,-5.63,-10.62,-37.22,-34.48,-34.64,0.736122586945
536.44,3.92,5.84,-4.51,-27.7,-18.46,-1.71,-6.7,-33.3,-30.56,3.7469241667300004
556.54,20.1,24.02,25.94,15.59,-7.6,1.64,18.39,13.4,-13.2,-3.67269198979
536.1,-20.44,-0.34,3.58,5.5,-4.85,-28.04,-18.8,-2.05,-7.04,-1.3952620779700002
528.62,-7.48,-27.92,-7.82,-3.9,-1.98,-12.33,-35.52,-26.28,-9.53,1.17097347811
534.81,6.19,-1.29,-21.73,-1.63,2.29,4.21,-6.14,-29.33,-20.09,-1.47155064415
526.94,-7.87,-1.68,-9.16,-29.6,-9.5,-5.58,-3.66,-14.01,-37.2,-0.337799369947
525.16,-1.78,-9.65,-3.46,-10.94,-31.38,-11.28,-7.36,-5.44,-15.79,-1.70995506131
516.18,-8.98,-10.76,-18.63,-12.44,-19.92,-40.36,-20.26,-16.34,-14.42,0.187918943004
517.15,0.97,-8.01,-9.79,-17.66,-11.47,-18.95,-39.39,-19.29,-15.37,2.04002707145
527.7,10.55,11.52,2.54,0.76,-7.11,-0.92,-8.4,-28.84,-8.74,-0.197081675194
526.66,-1.04,9.51,10.48,1.5,-0.28,-8.15,-1.96,-9.44,-29.88,0.890517601489
531.35,4.69,3.65,14.2,15.17,6.19,4.41,-3.46,2.73,-4.75,-0.64364354945
527.93,-3.42,1.27,0.23,10.78,11.75,2.77,0.99,-6.88,-0.69,-0.0227302862122
527.81,-0.12,-3.54,1.15,0.11,10.66,11.63,2.65,0.87,-7.0,-2.4004850230200003
515.14,-12.67,-12.79,-16.21,-11.52,-12.56,-2.01,-1.04,-10.02,-11.8,-1.00555188881
509.96,-5.18,-17.85,-17.97,-21.39,-16.7,-17.74,-7.19,-6.22,-15.2,0.20393756373
511.0,1.04,-4.14,-16.81,-16.93,-20.35,-15.66,-16.7,-6.15,-5.18,1.5127201565600001
518.73,7.73,8.77,3.59,-9.08,-9.2,-12.62,-7.93,-8.97,1.58,2.15719160257
529.92,11.19,18.92,19.96,14.78,2.11,1.99,-1.43,3.26,2.22,0.598203502415
533.09,3.17,14.36,22.09,23.13,17.95,5.28,5.16,1.74,6.43,-1.20805117335
526.65,-6.44,-3.27,7.92,15.65,16.69,11.51,-1.16,-1.28,-4.7,-1.26649577518
